Variable,R2,FstatP,VarType,Sign,Drop,Field Name,Description,Values,Notes,Drop VarName
SGDI,0.000342679,0.000103378,categorical,Not Applicable,No,Survey Group - Do It Yourself,"An individual within the household completed a survey selecting at least one of the following codes indicating a lifestyle of do it yourself: Hobbies of Cars or Car Repair, Home Improvement or Repair, Home Study Courses, and Woodworking, Occupation of Tradesman or Laborer, Reading of Interior Decorating.","Y = Yes
U = Unknown",Drop U,SGDI_U
SGFA,1.61E-06,0.301834674,categorical,Not Applicable,No,Survey Group - Fine Arts,"An individual within the household completed a survey selecting at least one of the following codes indicating a lifestyle of fine arts.: Collectibles of Fine Arts, Donor to Arts/Cultural, Hobby of Theater or Performing Arts, Music listed as Classical.","Y = Yes
U = Unknown",Drop U,SGFA_U
SGHL,0.000624496,2.44E-07,categorical,Not Applicable,No,Survey Group - Home Life,"An individual within the household completed a survey selecting at least one of the following codes indicating a lifestyle of home life: Hobbies of Baking, Cooking, Crafts, Gardening, Knitting or Needlework, Quilting, or Sewing, Occupation of Full-time Homemaker, Reading of Cooking or Culinary, or Interior Decorating, Travel is Family Vacations.","Y = Yes
U = Unknown",Drop U,SGHL_U
SGLL,7.78E-05,0.040532756,categorical,Not Applicable,No,Survey Group - Luxury Life,"An individual within the household completed a survey selecting at least one of the following codes indicating a lifestyle of luxury life:  Collectibles of Fine Arts, Hobby of Cigar Smoking, Cooking Gourmet, or Wine Appreciation, Personal International Travel, or Cruises.","Y = Yes
U = Unknown",Drop U,SGLL_U
SGOE,0.000537457,1.56E-06,categorical,Not Applicable,No,Survey Group - Outdoor Enthusiasts,"An individual within the household completed a survey selecting at least one of the following codes indicating a lifestyle of outdoor enthusiasts: Sporting Interest of Scuba, Boating or Sailing, Camping or Hiking, Fishing, Hunting, or Snow Skiing, Hobby of Bird Watching and Own an RV.","Y = Yes
U = Unknown",Drop U,SGOE_U
SGPA,-2.65E-06,0.34514899,categorical,Not Applicable,No,Survey Group - Physically Active,"An individual within the household completed a survey selecting at least one of the following codes indicating a lifestyle of physically active: Sporting Interest of Running, Weight lifting, Fitness, or Walking","Y = Yes
U = Unknown",Drop U,SGPA_U
SGSE,8.28E-05,0.035905513,categorical,Not Applicable,No,Survey Group - Sports Enthusiasts,"An individual within the household completed a survey selecting at least one of the following codes indicating a lifestyle of sports enthusiasts: Collectibles of Sports Memorabilia, Reading of Sports, Sporting Interest of NASCAR, Tennis, Baseball, Basketball, Football, Golf, Hockey, or Other.","Y = Yes
U = Unknown",Drop U,SGSE_U
SGTC,0.000541936,1.42E-06,categorical,Not Applicable,No,Survey Group - Techies,"An individual within the household completed a survey selecting at least one of the following codes indicating a lifestyle of technical: Own a Home Computer, Purchase Products Online, Has Online Access, Own a CD or DVD Player, Own a Cellular Phone, Reading of Science or Technology, or Computers.","Y = Yes
U = Unknown",Drop U,SGTC_U
SGUP,9.84E-06,0.236057085,categorical,Not Applicable,No,Survey Group - Up Town,"An individual within the household completed a survey selecting at least one of the following codes indicating a lifestyle of up town: Credit Card is Premium AMEX, Donor to Political-Conservative, or Political-Liberal, Investments in Own Mutual Funds, Own Stocks or Bonds, Own Other Investments, or Real Estate and Reading of World New or Politics.","Y = Yes
U = Unknown",Drop U,SGUP_U
BLSTORDR,4.30E-05,0.096198901,date,Negative,No,Buyer - Catalog - Last Order Date,Last date an individual within the household made a purchase from offline or online catalogs. Format is: YYMM.,YYMM,"Recode, Drop 0",
BLONORDR,-1.31E-05,0.495839446,date,Positive,No,Buyer - Catalog - Last Online Order Date,Last date an individual within the household made a purchase from an online catalog. Format is: YYMM.,YYMM,"Recode, Drop 0",
BLOFORDR,1.99E-05,0.177488483,date,Negative,No,Buyer - Catalog - Last Offline Order Date,Last date an individual within the household made a purchase from an offline catalog. Format is: YYMM.,YYMM,"Recode, Drop 0",
BTOTLORD,-2.13E-05,0.721757807,numeric,Positive,No,Buyer - Catalog - Total Orders,Total number of orders placed by an individual within the household from offline or online catalogs.,00-99,Drop 0,
BTOTLDOL,-1.95E-05,0.654136114,numeric,Positive,No,Buyer - Catalog - Total Dollars,Total dollars spent by an individual within the household from offline or online catalogs represented in thousands.,"$0-$9,999",Drop 0,
BONORDER,-2.18E-05,0.745572265,numeric,Positive,No,Buyer - Catalog - Online Orders,Total number of orders placed by an individual within the household from online catalogs.,00-99,Drop 0,
BONDOLLR,-1.72E-05,0.586963531,numeric,Negative,No,Buyer - Catalog - Online Dollars,Total dollars spent by an individual within the household from online catalogs represented in thousands.,"$0-$9,999",Drop 0,
BOFORDER,-2.12E-05,0.720655176,numeric,Positive,No,Buyer - Catalog - Offline Orders,Total number of orders placed by an individual within the household from offline catalogs.,00-99,Drop 0,
BOFDOLLR,-1.02E-05,0.445395412,numeric,Positive,No,Buyer - Catalog - Offline Dollars,Total dollars spent by an individual within the household from offline catalogs represented in thousands.,"$0-$9,999",Drop 0,
BAVGDOLL,7.39E-06,0.253602182,numeric,Negative,No,Buyer - Catalog - Average Order Dollars,Average dollars spent by an individual within the household from offline or online catalogs represented in thousands.,"$0-$9,999",Drop 0,
BAVGONDL,-2.41E-05,0.92548034,numeric,Negative,No,Buyer - Catalog - Average Online Dollars,Average dollars spent by an individual within the household from online catalogs represented in thousands.,"$0-$9,999",Drop 0,
BAVGOFDL,-1.07E-05,0.453795841,numeric,Negative,No,Buyer - Catalog - Average Offline Dollars,Average dollars spent by an individual within the household from offline catalogs represented in thousands.,"$0-$9,999",Drop 0,
INSHOP,-1.17E-05,0.470918787,categorical,Not Applicable,No,Buyer - Catalog - Online Shopper,An individual within the household has made purchases through an online catalog.,"Y = Yes
U = Unknown",Drop U,INSHOP_U
CONSHOP,0.000463139,7.65E-06,categorical,Not Applicable,No,Buyer - Catalog - Continuity Shopper,"An individual within the household enrolled in a monthly club from online or offline catalogs.  Products are received on a weekly/monthly basis (i.e. music clubs, book clubs, wine clubs, etc.).","Y = Yes
U = Unknown",Drop U,CONSHOP_U
OAGEN,-1.88E-05,0.632914019,categorical,Not Applicable,No,Buyer - Catalog - Apparel - General,An individual within the household purchased general apparel from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OAGEN_U
OABIGTLL,-1.34E-05,0.50323414,categorical,Not Applicable,No,Buyer - Catalog - Apparel - Mens Big & Tall,An individual within the household purchased mens big & tall apparel from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OABIGTLL_U
OACHILD,-1.05E-05,0.451479229,categorical,Not Applicable,No,Buyer - Catalog - Apparel - Children,An individual within the household purchased childrens apparel from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OACHILD_U
OATEEN,-1.40E-05,0.514265671,categorical,Not Applicable,No,Buyer - Catalog - Apparel - Teenagers,An individual within the household purchased teenagers apparel from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OATEEN_U
OAMEN,-1.63E-05,0.566180491,categorical,Not Applicable,No,Buyer - Catalog - Apparel - Men,An individual within the household purchased mens apparel from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OAMEN_U
OAPETITE,-7.62E-06,0.407193969,categorical,Not Applicable,No,Buyer - Catalog - Apparel - Womens Petite Sizes,An individual within the household purchased womens petite sized apparel from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OAPETITE_U
OAPLUS,-2.43E-05,0.985173097,categorical,Not Applicable,No,Buyer - Catalog - Apparel - Womens Plus Sizes,An individual within the household purchased womens plus sized apparel from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OAPLUS_U
OAWOMEN,-5.26E-06,0.375925155,categorical,Not Applicable,No,Buyer - Catalog - Apparel - Women,An individual within the household purchased womens apparel from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OAWOMEN_U
OANOGEN,1.51E-05,0.203109668,categorical,Not Applicable,No,Buyer - Catalog - Apparel - Non-gender Specific,An individual within the household purchased non-gender specific apparel from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OANOGEN_U
OARTS,-1.30E-05,0.495699787,categorical,Not Applicable,No,Buyer - Catalog - Arts & Antiques,An individual within the household purchased arts & antiques from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OARTS_U
OCOLLECT,8.01E-05,0.038376519,categorical,Not Applicable,No,Buyer - Catalog - Collectibles,An individual within the household purchased collectibles from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OCOLLECT_U
ONOVEL,6.16E-05,0.060249679,categorical,Not Applicable,No,Buyer - Catalog - Novelty,An individual within the household purchased novelty items from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,ONOVEL_U
OAUTO,-2.15E-05,0.732658108,categorical,Not Applicable,No,Buyer - Catalog - Automotive,An individual within the household purchased automotive products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OAUTO_U
OBOOKS,0.000162391,0.005618133,categorical,Not Applicable,No,Buyer - Catalog - Books,An individual within the household purchased books from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OBOOKS_U
OCHILDPR,7.87E-05,0.039700482,categorical,Not Applicable,No,Buyer - Catalog - Childrens Products,An individual within the household purchased childrens products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OCHILDPR_U
OCOMPHMO,-2.40E-05,0.903780534,categorical,Not Applicable,No,Buyer - Catalog - Computing/Home Office,An individual within the household purchased computing/home office products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OCOMPHMO_U
OCRAFTS,-2.16E-05,0.734500476,categorical,Not Applicable,No,Buyer - Catalog - Crafts/Hobbies,An individual within the household purchased craft/hobby products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OCRAFTS_U
OFOOD,5.62E-05,0.069005884,categorical,Not Applicable,No,Buyer - Catalog - Food/Beverages,An individual within the household purchased food/beverages from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OFOOD_U
OGEN,0.000111044,0.018374607,categorical,Not Applicable,No,Buyer - Catalog - General Merchandise,An individual within the household purchased general merchandise from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OGEN_U
OGIFT,-2.02E-05,0.680668825,categorical,Not Applicable,No,Buyer - Catalog - Gift,An individual within the household purchased gifts from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OGIFT_U
OSPECFD,6.71E-05,0.052572262,categorical,Not Applicable,No,Buyer - Catalog - Specialty Food,An individual within the household purchased specialty food from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OSPECFD_U
OHOLIDAY,-2.42E-05,0.927989766,categorical,Not Applicable,No,Buyer - Catalog - Holiday Items,An individual within the household purchased holiday items from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OHOLIDAY_U
OSPECGFT,-1.13E-05,0.463963924,categorical,Not Applicable,No,Buyer - Catalog - Specialty Gifts,An individual within the household purchased specialty gifts from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OSPECGFT_U
OSTATION,-1.26E-05,0.48662542,categorical,Not Applicable,No,Buyer - Catalog - Stationery,An individual within the household purchased stationary from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OSTATION_U
OBEAUTY,1.01E-07,0.316314901,categorical,Not Applicable,No,Buyer - Catalog - Beauty,An individual within the household purchased beauty products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OBEAUTY_U
OHEALTH,6.61E-05,0.053984507,categorical,Not Applicable,No,Buyer - Catalog - Health,An individual within the household purchased health products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OHEALTH_U
OPERCARE,0.000127674,0.012468204,categorical,Not Applicable,No,Buyer - Catalog - Personal Care,An individual within the household purchased personal care products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OPERCARE_U
OELECTNC,0.000184436,0.003409492,categorical,Not Applicable,No,Buyer - Catalog - Electronics,An individual within the household purchased electronics from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OELECTNC_U
OHMFURN,9.28E-06,0.239938355,categorical,Not Applicable,No,Buyer - Catalog - Home Furnishings,An individual within the household purchased home furnishings from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OHMFURN_U
OFURNITR,0.000144249,0.008505675,categorical,Not Applicable,No,Buyer - Catalog - Furniture,An individual within the household purchased furniture from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OFURNITR_U
OHSWARE,8.73E-06,0.243835707,categorical,Not Applicable,No,Buyer - Catalog - Housewares,An individual within the household purchased housewares from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OHSWARE_U
OLINENS,0.000309139,0.000214883,categorical,Not Applicable,No,Buyer - Catalog - Linens,An individual within the household purchased linens from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OLINENS_U
OHMCARE,0.000157695,0.006252672,categorical,Not Applicable,No,Buyer - Catalog - Home Care,An individual within the household purchased home care products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OHMCARE_U
OGARDEN,-2.43E-05,0.987235395,categorical,Not Applicable,No,Buyer - Catalog - Garden,An individual within the household purchased garden products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OGARDEN_U
OJEWELRY,0.000142655,0.008823067,categorical,Not Applicable,No,Buyer - Catalog - Jewelry,An individual within the household purchased jewelry from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OJEWELRY_U
OMUSIC,-1.76E-05,0.598780468,categorical,Not Applicable,No,Buyer - Catalog - Music,An individual within the household purchased music from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OMUSIC_U
OOTHER,0.000184617,0.003395562,categorical,Not Applicable,No,Buyer - Catalog - Other Merch/Services,An individual within the household purchased other merchandise/services from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OOTHER_U
OPETS,-8.92E-06,0.426051387,categorical,Not Applicable,No,Buyer - Catalog - Pets,An individual within the household purchased pets or pet products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OPETS_U
OPHOTO,3.59E-05,0.11584186,categorical,Not Applicable,No,Buyer - Catalog - Photo & Video Equipment,An individual within the household purchased photo & video equipment from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OPHOTO_U
OSPORTS,-2.43E-05,0.979715248,categorical,Not Applicable,No,Buyer - Catalog - Sports & Leisure,An individual within the household purchased sports & leisure products from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OSPORTS_U
OTRAVEL,2.35E-05,0.16088882,categorical,Not Applicable,No,Buyer - Catalog - Travel,An individual within the household purchased travel from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OTRAVEL_U
OVIDDVD,2.73E-05,0.145401032,categorical,Not Applicable,No,Buyer - Catalog - Videos/DVDs,An individual within the household purchased videos/DVDs from online or offline catalogs.,"Y = Yes
U = Unknown",Drop U,OVIDDVD_U
BPAMEX,0.000273447,0.000470223,categorical,Not Applicable,No,Buyer - Catalog - Payment AMEX,An individual within the household made a purchase from online or offline catalogs using American Express.,"Y = Yes
U = Unknown",Drop U,BPAMEX_U
BPCREDIT,-2.28E-05,0.800194206,categorical,Not Applicable,No,Buyer - Catalog - Payment Credit Card,An individual within the household made a purchase from online or offline catalogs using a credit card.,"Y = Yes
U = Unknown",Drop U,BPCREDIT_U
BPDISCVR,-3.06E-06,0.34976727,categorical,Not Applicable,No,Buyer - Catalog - Payment Discover,An individual within the household made a purchase from online or offline catalogs using Discover.,"Y = Yes
U = Unknown",Drop U,BPDISCVR_U
BPHOUSE,0.00097264,1.55E-10,categorical,Not Applicable,No,Buyer - Catalog - Payment House Charge,An individual within the household made a purchase from online or offline catalogs using a house charge.,"Y = Yes
U = Unknown",Drop U,BPHOUSE_U
BPMASTER,-1.29E-05,0.49322589,categorical,Not Applicable,No,Buyer - Catalog - Payment MasterCard,An individual within the household made a purchase from online or offline catalogs using MasterCard.,"Y = Yes
U = Unknown",Drop U,BPMASTER_U
BPRETAIL,-1.61E-05,0.561246666,categorical,Not Applicable,No,Buyer - Catalog - Payment Retail Card,An individual within the household made a purchase from online or offline catalogs using a retail card.,"Y = Yes
U = Unknown",Drop U,BPRETAIL_U
BPVISA,-2.43E-05,0.989962351,categorical,Not Applicable,No,Buyer - Catalog - Payment Visa,An individual within the household made a purchase from online or offline catalogs using Visa.,"Y = Yes
U = Unknown",Drop U,BPVISA_U
BUYER,0.000144272,0.008501331,categorical,Not Applicable,No,Buyer Catalog Data Present,Indicates the presence of online or offline catalog purchases within the household.,"Y = Yes
U = Unknown",Drop U,BUYER_U
RORDERDT,-1.27E-05,0.488537509,date,Negative,No,Buyer - Retail - Last Order Date,Last date an individual within the household made a purchase from a retail store. Format is: YYMM.,YYMM,"Recode, Drop 0",
RORDERS,-2.18E-05,0.743783728,numeric,Positive,No,Buyer - Retail - Orders,Number of times an individual within the household made a purchased from a retail store.,00-99,Drop 0,
RDOLLARS,3.83E-05,0.10873535,numeric,Positive,No,Buyer - Retail - Dollars,Total dollars spent by an individual within the household at a retail store represented in thousands.,"$0 - $9,999",Drop 0,
RAGEN,-5.96E-06,0.384762056,categorical,Not Applicable,No,Buyer - Retail - Apparel - General,An individual within the household purchased general apparel from a retail store.,"Y = Yes
U = Unknown",Drop U,RAGEN_U
RABIGTLL,-2.24E-05,0.777489188,categorical,Not Applicable,No,Buyer - Retail - Apparel - Mens Big And Tall,An individual within the household purchased Mens Big and Tall apparel from a retail store.,"Y = Yes
U = Unknown",Drop U,RABIGTLL_U
RACHILD,-1.23E-05,0.481070605,categorical,Not Applicable,No,Buyer - Retail - Apparel - Children,An individual within the household purchased childrens apparel from a retail store.,"Y = Yes
U = Unknown",Drop U,RACHILD_U
RATEEN,-1.09E-05,0.457226381,categorical,Not Applicable,No,Buyer - Retail - Apparel - Teenagers,An individual within the household purchased teenagers apparel from a retail store.,"Y = Yes
U = Unknown",Drop U,RATEEN_U
RAMEN,-1.02E-05,0.445200454,categorical,Not Applicable,No,Buyer - Retail - Apparel - Men,An individual within the household purchased mens apparel from a retail store.,"Y = Yes
U = Unknown",Drop U,RAMEN_U
RAPETITE,-2.40E-05,0.906947929,categorical,Not Applicable,No,Buyer - Retail - Apparel - Womens Petite Sizes,An individual within the household purchased Womens Petite apparel from a retail store.,"Y = Yes
U = Unknown",Drop U,RAPETITE_U
RAPLUS,-2.42E-05,0.937540418,categorical,Not Applicable,No,Buyer - Retail - Apparel - Womens Plus Sizes,An individual within the household purchased Women's Plus apparel from a retail store.,"Y = Yes
U = Unknown",Drop U,RAPLUS_U
RAWOMEN,4.62E-05,0.088662658,categorical,Not Applicable,No,Buyer - Retail - Apparel - Women,An individual within the household purchased womens apparel from a retail store.,"Y = Yes
U = Unknown",Drop U,RAWOMEN_U
RANOGEN,-2.42E-05,0.928222326,categorical,Not Applicable,No,Buyer - Retail - Apparel - Non-gender Specific,An individual within the household purchased non-gender specific apparel from a retail store.,"Y = Yes
U = Unknown",Drop U,RANOGEN_U
RARTS,-1.60E-05,0.557525122,categorical,Not Applicable,No,Buyer - Retail - Arts & Antiques,An individual within the household purchased arts and antiques from a retail store.,"Y = Yes
U = Unknown",Drop U,RARTS_U
RAUTO,-1.07E-05,0.45366364,categorical,Not Applicable,No,Buyer - Retail - Automotive,An individual within the household purchased automotive products from a retail store.,"Y = Yes
U = Unknown",Drop U,RAUTO_U
RBEAUTY,-7.76E-07,0.325153769,categorical,Not Applicable,No,Buyer - Retail - Beauty,An individual within the household purchased beauty products from a retail store.,"Y = Yes
U = Unknown",Drop U,RBEAUTY_U
RBOOKS,-2.31E-05,0.8182948,categorical,Not Applicable,No,Buyer - Retail - Books,An individual within the household purchased books from a retail store.,"Y = Yes
U = Unknown",Drop U,RBOOKS_U
RCHILDPR,2.08E-05,0.173229875,categorical,Not Applicable,No,Buyer - Retail - Childrens Products,An individual within the household purchased children's products from a retail store.,"Y = Yes
U = Unknown",Drop U,RCHILDPR_U
RCOLLECT,-1.80E-05,0.609760903,categorical,Not Applicable,No,Buyer - Retail - Collectibles,An individual within the household purchased collectibles from a retail store.,"Y = Yes
U = Unknown",Drop U,RCOLLECT_U
RCOMPHMO,-1.03E-05,0.447115105,categorical,Not Applicable,No,Buyer - Retail - Computing/Home Office,An individual within the household purchased computing/home office products from a retail store.,"Y = Yes
U = Unknown",Drop U,RCOMPHMO_U
RCRAFTS,-1.60E-05,0.557525122,categorical,Not Applicable,No,Buyer - Retail - Crafts/Hobbies,An individual within the household purchased craft/hobbie products from a retail store.,"Y = Yes
U = Unknown",Drop U,RCRAFTS_U
RELECTNC,-2.00E-05,0.673791214,categorical,Not Applicable,No,Buyer - Retail - Electronics,An individual within the household purchased electronics from a retail store.,"Y = Yes
U = Unknown",Drop U,RELECTNC_U
RFOOD,4.48E-05,0.091870499,categorical,Not Applicable,No,Buyer - Retail - Food/Beverages,An individual within the household purchased food/beverages from a retail store.,"Y = Yes
U = Unknown",Drop U,RFOOD_U
RFURNITR,-2.33E-05,0.831865089,categorical,Not Applicable,No,Buyer - Retail - Furniture,An individual within the household purchased furniture from a retail store.,"Y = Yes
U = Unknown",Drop U,RFURNITR_U
RGARDEN,-7.02E-06,0.398864979,categorical,Not Applicable,No,Buyer - Retail - Garden,An individual within the household purchased garden products from a retail store.,"Y = Yes
U = Unknown",Drop U,RGARDEN_U
RGEN,-2.37E-05,0.867225863,categorical,Not Applicable,No,Buyer - Retail - General Merchandise,An individual within the household purchased general merchandise from a retail store.,"Y = Yes
U = Unknown",Drop U,RGEN_U
RGIFT,-2.39E-05,0.888516074,categorical,Not Applicable,No,Buyer - Retail - Gift,An individual within the household purchased gifts from a retail store.,"Y = Yes
U = Unknown",Drop U,RGIFT_U
RHEALTH,-2.37E-05,0.865444546,categorical,Not Applicable,No,Buyer - Retail - Health,An individual within the household purchased health products from a retail store.,"Y = Yes
U = Unknown",Drop U,RHEALTH_U
RHOLIDAY,-2.44E-05,0.996118971,categorical,Not Applicable,No,Buyer - Retail - Holiday Items,An individual within the household purchased holiday items from a retail store.,"Y = Yes
U = Unknown",Drop U,RHOLIDAY_U
RHMCARE,-1.89E-05,0.637557684,categorical,Not Applicable,No,Buyer - Retail - Home Care,An individual within the household purchased home care products from a retail store.,"Y = Yes
U = Unknown",Drop U,RHMCARE_U
RHMFURN,4.54E-05,0.090453113,categorical,Not Applicable,No,Buyer - Retail - Home Furnishings,An individual within the household purchased home furnishings products from a retail store.,"Y = Yes
U = Unknown",Drop U,RHMFURN_U
RHSWARE,-1.20E-05,0.475915331,categorical,Not Applicable,No,Buyer - Retail - Housewares,An individual within the household purchased housewares from a retail store.,"Y = Yes
U = Unknown",Drop U,RHSWARE_U
RJEWELRY,-2.43E-05,0.964894624,categorical,Not Applicable,No,Buyer - Retail - Jewelry,An individual within the household purchased jewelry from a retail store.,"Y = Yes
U = Unknown",Drop U,RJEWELRY_U
RLINENS,-1.44E-05,0.523498902,categorical,Not Applicable,No,Buyer - Retail - Linens,An individual within the household purchased linens from a retail store.,"Y = Yes
U = Unknown",Drop U,RLINENS_U
RMUSIC,NA,NA,categorical,NA,No,Buyer - Retail - Music,An individual within the household purchased music from a retail store.,"Y = Yes
U = Unknown",Drop U,RMUSIC_U
RNOVEL,-2.18E-05,0.747334581,categorical,Not Applicable,No,Buyer - Retail - Novelty,An individual within the household purchased novelty products from a retail store.,"Y = Yes
U = Unknown",Drop U,RNOVEL_U
ROTHER,4.22E-05,0.09822735,categorical,Not Applicable,No,Buyer - Retail - Other Merch/Services,An individual within the household purchased other merchandise/services from a retail store.,"Y = Yes
U = Unknown",Drop U,ROTHER_U
RPERCARE,-2.20E-05,0.757978907,categorical,Not Applicable,No,Buyer - Retail - Personal Care,An individual within the household purchased personal care products from a retail store.,"Y = Yes
U = Unknown",Drop U,RPERCARE_U
RPETS,-2.40E-05,0.905760512,categorical,Not Applicable,No,Buyer - Retail - Pets,An individual within the household purchased pets from a retail store.,"Y = Yes
U = Unknown",Drop U,RPETS_U
RPHOTO,NA,NA,categorical,NA,No,Buyer - Retail - Photo & Video Equipment,An individual within the household purchased photo and video equipment from a retail store.,"Y = Yes
U = Unknown",Drop U,RPHOTO_U
RSPECFD,-2.29E-05,0.804546237,categorical,Not Applicable,No,Buyer - Retail - Specialty Food,An individual within the household purchased speciality food from a retail store.,"Y = Yes
U = Unknown",Drop U,RSPECFD_U
RSPECGFT,-2.17E-05,0.740251564,categorical,Not Applicable,No,Buyer - Retail - Specialty Gifts,An individual within the household purchased speciality gifts from a retail store.,"Y = Yes
U = Unknown",Drop U,RSPECGFT_U
RSPORTS,6.70E-06,0.258821327,categorical,Not Applicable,No,Buyer - Retail - Sports & Leisure,An individual within the household purchased sports and leisure products from a retail store.,"Y = Yes
U = Unknown",Drop U,RSPORTS_U
RSTATION,-7.64E-06,0.407443881,categorical,Not Applicable,No,Buyer - Retail - Stationery,An individual within the household purchased stationary from a retail store.,"Y = Yes
U = Unknown",Drop U,RSTATION_U
RTRAVEL,-1.30E-05,0.4955793,categorical,Not Applicable,No,Buyer - Retail - Travel,An individual within the household purchased travel from a retail store.,"Y = Yes
U = Unknown",Drop U,RTRAVEL_U
RVIDDVD,NA,NA,categorical,NA,No,Buyer - Retail - Videos/DVDs,An individual within the household purchased videos/DVD's from a retail store.,"Y = Yes
U = Unknown",Drop U,RVIDDVD_U
RETAIL,-1.28E-05,0.491715774,categorical,Not Applicable,No,Buyer Retail Data Present,Indicates the presence of retail store purchases within the household.,"Y = Yes
U = Unknown",Drop U,RETAIL_U
SPENDPAT,-1.69E-05,0.580541414,categorical,Positive,No,Buyer - Catalog - Spending Patterns,The purchasing behavior of an individual in the household based upon items bought through online or offline catalogs.,"00 - No Buyer Data 
01 - Occasional Frugality 
02 - Occasional Moderation 
03 - Occasional Spending 
04 - Occasional Indulgence 
05 - Sporadic Frugality 
06 - Sporadic Moderation 
07 - Sporadic Spending 
08 - Sporadic Indulgence 
09 - Frequent Frugality 
10 - Frequent Moderation 
11 - Frequent Spending 
12 - Frequent Indulgence 
13 - Habitual Frugality 
14 - Habitual Moderation 
15 - Habitual Spending 
16 - Habitual Indulgence",Categorical,
SHAPPL,0.000235887,0.001078629,numeric,Positive,No,Smart Households - Appliances,"A demographic based analytical model which predicts the likelihood of a household to have a thermostat, appliances, TV or sound system controlled through an internet connection.","0 - Most Likely to Have
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely to Have",,
SHSEC,0.000333834,0.000125337,numeric,Negative,No,Smart Households - Security,"A demographic based analytical model which predicts the likelihood of a household to have an alarm, lighting, door locks or security cameras controlled through an internet connection.","0 - Most Likely to Have
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely to Have",,
STLNINDX,0.002240575,4.95E-22,numeric,Positive,No,Student Loan Index,A statistical model predicting an individual is likely to have a student loan.,"0 - Most Likely
1 
2 
3 
4 
5 
6 
7 
8 
9 - Least Likely",,
TSCONS,0.000617525,2.83E-07,numeric,Positive,No,Travel Segment - Consolidator,"Predicts the likelihood of an individual to schedule travel and accommodations on an online site which consolidates the travel, hotel and car rental.",0-9,,
TSCOST,0.00091016,5.79E-10,numeric,Positive,No,Travel Segment - Cost Conscience,Predicts the likelihood of an individual to search for low cost flights and cost comparisons along with low cost accommodations with extras like free breakfast and Wi-Fi.,0-9,,
TSDBOOK,0.001314764,1.19E-13,numeric,Positive,No,Travel Segment - Direct Booker,Predicts the likelihood of an individual to schedule travel and accommodations through single transactions either via the internet or over the phone.,0-9,,
TSLOYAL,0.001667003,7.60E-17,numeric,Positive,No,Travel Segment - Loyalists,"Predicts the likelihood of an individual to select travel options which include loyalty programs for airlines, hotels or car rentals.",0-9,,
TSLUX,0.000652608,1.34E-07,numeric,Positive,No,Travel Segment - Luxury Lovers,Predicts the likelihood of an individual to schedule travel based on their schedule and preferred seating. They also are likely to select higher priced accommodations which may be big brand or boutique hotels.,0-9,,
